review,image_urls,name,date,images
Great quality!,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Benjamin                                                    ,25-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Excellent shorts for the money .well made ,sturdy ,you won't be disappointed. shorts are awesome for the price",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Joseph                                                    ,24-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Love them.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,David                                                    ,23-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
these shorts are awesome for the price,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Miles                                                    ,24-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
best shorts ever¡­,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,James                                                    ,23-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
My nephew really loves these shorts. He says they are comfortable and fit great. They wash well and have not faded. He is very happy.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Brandon                                                    ,22-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Great look, fits well, he loves them.",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Aleen                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Love them.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,jass                                                    ,21-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Outside design keeps shorts cool . Mesh makes it breathable.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Mateo                                                    ,21-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Excellent shorts for the money .well made ,sturdy ,you won't be disappointed. shorts are awesome for the price",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Mila                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Fit to size. It fits the same way as the same size in Jordan brand. I love this and it looks real nice.,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Mateo                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
Ultra Game NBA Men's Woven Active Basketball Shorts,https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Lincoln                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
"Excellent shorts for the money .well made ,sturdy ,you won't be disappointed. shorts are awesome for the price",https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg,Mila                                                    ,20-Jan-21,"[{'url': 'https://shortsground.com/wp-content/uploads/2021/01/d8550898951b06af316d28958bc5631b.jpg', 'path': 'full/b8195f28cd385d11ad02f30ee36ed44febd1164e.jpg', 'checksum': '1b2dc20ca595f1db9421e46ed84afadd', 'status': 'uptodate'}]"
